[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:34 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:34 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:34 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:34 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:34 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:34 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Сортировка фото в галерее [Виталий] - 127.0.0.1 - [14/Jan/2015 20:24:36 +02:00] U:\home\upcms.up\www\admin\includes\gallery.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Успешный вход [Виталий] - 127.0.0.1 - [14/Jan/2015 20:42:27 +02:00] U:\home\upcms.up\www\admin\includes\enter.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36 OPR/26.0.1656.60
[100] - Редактирование страницы - (id:10) [Виталий] - 127.0.0.1 - [14/Jan/2015 20:57:19 +02:00] U:\home\upcms.up\www\admin\includes\pages.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
[100] - Редактирование страницы - (id:10) [Виталий] - 127.0.0.1 - [14/Jan/2015 20:59:45 +02:00] U:\home\upcms.up\www\admin\includes\pages.php - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
